ID_Pelanggan,Usia, Pendapatan_Tahunan_Ribuan_Rupiah ,Pengeluaran_Rupiah,Gender
1,19,213000,553800,Pria
2,21,213000,1150200,Pria
3,20,227200,85200,Wanita
4,23,227200,1093400,Wanita
5,31,241400,568000,Wanita
6,22,241400,1079200,Wanita
7,35,255600,85200,Wanita
8,23,255600,1334800,Wanita
9,64,269800,42600,Pria
10,30,269800,1022400,Wanita
11,67,269800,198800,Pria
12,35,269800,1405800,Wanita
13,58,284000,213000,Wanita
14,24,284000,1093400,Wanita
15,37,284000,184600,Pria
16,22,284000,1121800,Pria
17,35,298200,497000,Wanita
18,20,298200,937200,Pria
19,52,326600,411800,Pria
20,35,326600,1391600,Wanita
21,35,340800,497000,Pria
22,25,340800,1036600,Pria
23,46,355000,71000,Wanita
24,31,355000,1036600,Pria
25,54,397600,198800,Wanita
26,29,397600,1164400,Pria
27,45,397600,454400,Wanita
28,35,397600,866200,Pria
29,40,411800,440200,Wanita
30,23,411800,1235400,Wanita
31,60,426000,56800,Pria
32,21,426000,1036600,Wanita
33,53,468600,56800,Pria
34,18,468600,1306400,Pria
35,49,468600,198800,Wanita
36,21,468600,1150200,Wanita
37,42,482800,241400,Wanita
38,30,482800,1036600,Wanita
39,36,525400,369200,Wanita
40,20,525400,1065000,Wanita
41,65,539600,497000,Wanita
42,24,539600,1306400,Pria
43,48,553800,511200,Pria
44,31,553800,866200,Wanita
45,49,553800,397600,Wanita
46,24,553800,923000,Wanita
47,50,568000,781000,Wanita
48,27,568000,667400,Wanita
49,29,568000,596400,Wanita
50,31,568000,596400,Wanita
51,49,596400,738400,Wanita
52,33,596400,852000,Pria
53,31,610600,766800,Wanita
54,59,610600,852000,Pria
55,50,610600,639000,Wanita
56,47,610600,582200,Pria
57,51,624800,710000,Wanita
58,69,624800,653200,Pria
59,27,653200,724200,Wanita
60,53,653200,653200,Pria
61,70,653200,795200,Pria
62,19,653200,781000,Pria
63,67,667400,738400,Wanita
64,54,667400,837800,Wanita
65,63,681600,724200,Pria
66,18,681600,837800,Pria
67,43,681600,710000,Wanita
68,68,681600,681600,Wanita
69,19,681600,837800,Pria
70,32,681600,667400,Wanita
71,70,695800,781000,Pria
72,47,695800,596400,Wanita
73,60,710000,695800,Wanita
74,60,710000,795200,Wanita
75,59,766800,667400,Pria
76,26,766800,766800,Pria
77,45,766800,752600,Wanita
78,40,766800,681600,Pria
79,23,766800,738400,Wanita
80,49,766800,596400,Wanita
81,57,766800,724200,Pria
82,38,766800,781000,Pria
83,67,766800,582200,Pria
84,46,766800,624800,Wanita
85,21,766800,809400,Wanita
86,48,766800,653200,Pria
87,55,809400,823600,Wanita
88,22,809400,781000,Wanita
89,34,823600,852000,Wanita
90,50,823600,653200,Wanita
91,68,837800,781000,Wanita
92,18,837800,582200,Pria
93,48,852000,695800,Pria
94,40,852000,568000,Wanita
95,32,852000,596400,Wanita
96,24,852000,738400,Pria
97,47,852000,667400,Wanita
98,27,852000,710000,Wanita
99,48,866200,596400,Pria
100,20,866200,695800,Pria
101,23,880400,582200,Wanita
102,49,880400,681600,Wanita
103,67,880400,837800,Pria
104,26,880400,781000,Pria
105,49,880400,795200,Pria
106,21,880400,596400,Wanita
107,66,894600,710000,Wanita
108,54,894600,653200,Pria
109,68,894600,610600,Pria
110,66,894600,681600,Pria
111,65,894600,738400,Pria
112,19,894600,766800,Wanita
113,38,908800,596400,Wanita
114,19,908800,653200,Pria
115,18,923000,681600,Wanita
116,19,923000,710000,Wanita
117,63,923000,610600,Wanita
118,49,923000,837800,Wanita
119,51,951400,610600,Wanita
